Role,Link,Location,Salary,Summary,H1B,Company
Sales Development Representative,https://job-boards.greenhouse.io/dialpad/jobs/6131955002,"Tempe, AZ","est. $50,000 - $70,000 per year","Sales Development Representative position in Tempe, Arizona. Requires no prior sales experience but a strong enthusiasm for sales. Responsibilities include prospecting, lead qualification, and collaboration with Account Executives. Skills in communication, organization, and motivation are essential.",FALSE,dialpad
Sales Development Representative ,https://job-boards.greenhouse.io/dialpad/jobs/4556150002,"Austin, TX","est. $50,000 - $70,000 per year","Sales Development Representative position in Austin, Texas. Requires skills in prospecting, lead qualification, and communication. No prior sales experience needed, but enthusiasm for sales is preferred. Full-time role with a medium-sized tech company.",FALSE,dialpad
Business Development Representative,https://boards.greenhouse.io/pendo/jobs/6852530002,"Raleigh, NC","est. $65,000 - $80,000 per year","Business Development Representative position in Raleigh, North Carolina. Requires 1+ years of sales experience, familiarity with CRM tools, and a Bachelor's Degree. Full-time role in a fast-growing SaaS startup with hybrid work options.",FALSE,pendo
"Brokerage Operations Analyst – Equities, Derivatives & Fixed Income",https://job-boards.greenhouse.io/ibkr/jobs/7530619002,"Greenwich, CT","est. $60,000 - $80,000 per year","Brokerage Operations Analyst role at Interactive Brokers in Greenwich, Connecticut. Entry-level position requiring a Bachelor's degree in Finance, Economics, or Mathematics. Skills needed include problem-solving, analytical, and communication skills. Hybrid work model with growth potential.",FALSE,Interactive Brokers
Entry Level Career Opportunities in Finance & Operation ,https://job-boards.greenhouse.io/ibkr/jobs/4246812002,"Greenwich, CT","est. $50,000 - $70,000 per year","Entry Level Career Opportunities in Finance & Operation in Greenwich, CT. Requires Bachelor's degree in Finance, Economics or Mathematics, strong analytical skills, and proficiency in Microsoft Excel and Word.",FALSE,Interactive Brokers
Entry- Level Career Opportunities: Institutional Services,https://job-boards.greenhouse.io/ibkr/jobs/6104610002,"Greenwich, CT","est. $50,000 - $70,000 per year","Entry-Level Career Opportunities at Interactive Brokers in Greenwich, Connecticut. Requires Bachelor's degree in Finance, Economics or Mathematics, strong analytical and problem-solving skills. Full-Time position in the Financial Services industry.",FALSE,Interactive Brokers
Financial Sales Associate Trainee,https://job-boards.greenhouse.io/ibkr/jobs/5861694002,"Greenwich, CT","est. $50,000 - $70,000 per year","Financial Sales Associate Trainee position at Interactive Brokers in Greenwich, Connecticut requiring a Bachelor's degree in Finance, Economics or Mathematics, with skills in customer service, analytical abilities, and communication. Full-time role in a large financial services company.",FALSE,Interactive Brokers
Professional Services Representative,https://job-boards.greenhouse.io/ibkr/jobs/4247350002,"Greenwich, CT","est. $60,000 - $80,000 per year","Professional Services Representative position in Greenwich, CT requiring a Bachelor's degree in Finance or related field, 0-3 years of experience in the financial industry, strong communication skills, and knowledge of market instruments.",FALSE,Interactive Brokers
Sanctions System Analyst,https://job-boards.greenhouse.io/ibkr/jobs/7557238002,"Chicago, IL","est. $60,000 - $80,000 per year","Sanctions System Analyst position at Interactive Brokers in Chicago, IL. Entry-level role focusing on compliance with sanctions laws, requiring skills in Microsoft Excel, SQL, and strong analytical abilities. Hybrid work model with opportunities for growth.",FALSE,Interactive Brokers
Additive Manufacturing Material Handler,https://www.ursamajor.com/careers/4443036005?gh_jid=4443036005,"Youngstown, OH","est. $40,000 - $60,000 per year","Additive Manufacturing Material Handler position in Youngstown, Ohio. Requires exceptional organizational skills, experience in an industrial setting, and a high school diploma. Full-time role in the Aerospace and Defense industry with an estimated salary of $40,000 - $60,000 per year.",FALSE,ursamajor
